crossover_type,crossover_label,generation_zero_based,run_count,mean_population_size,mean_pairwise_morphological_distance,std_pairwise_morphological_distance,q25_pairwise_morphological_distance,q75_pairwise_morphological_distance
arithmetic_recombination,arithmetic recombination,0,10,25.0,0.25528489132975524,0.01601087666738245,0.24308900241933107,0.2646440985684863
arithmetic_recombination,arithmetic recombination,1,10,25.0,0.25354434110042007,0.018176870615912114,0.24374659083689845,0.2684569118332545
arithmetic_recombination,arithmetic recombination,2,10,25.0,0.2444074144254745,0.015068495595307645,0.23457174178230675,0.25734192091591895
arithmetic_recombination,arithmetic recombination,3,10,25.0,0.23868044390060056,0.019090894769989437,0.23961994962099872,0.24852218173851048
arithmetic_recombination,arithmetic recombination,4,10,25.0,0.23445405924350954,0.03421917529954145,0.23616274862094544,0.24923692098764016
arithmetic_recombination,arithmetic recombination,5,10,25.0,0.22102017824921033,0.04415433397764639,0.2197075023758771,0.24161161948354837
arithmetic_recombination,arithmetic recombination,6,10,25.0,0.20248264192130144,0.05766614089695556,0.1835831487363329,0.23070531035263853
arithmetic_recombination,arithmetic recombination,7,10,25.0,0.18072293074857707,0.06805791757907621,0.14416342508974728,0.22132544765395146
arithmetic_recombination,arithmetic recombination,8,10,25.0,0.16130067826220987,0.08513659933367035,0.09280777350354814,0.21553396972450187
arithmetic_recombination,arithmetic recombination,9,10,25.0,0.1405401814850874,0.10101809603896453,0.06032595009661158,0.21622178633204114
arithmetic_recombination,arithmetic recombination,10,10,25.0,0.12558504923926195,0.0960096465190205,0.03991062583649514,0.20971322232837386
arithmetic_recombination,arithmetic recombination,11,10,25.0,0.11637523505571587,0.08819609498987001,0.03875893527177755,0.19571737473755543
arithmetic_recombination,arithmetic recombination,12,10,25.0,0.10778752400830789,0.08933629201967003,0.03016614246700386,0.19080874107092932
arithmetic_recombination,arithmetic recombination,13,10,25.0,0.0986164948694581,0.0851068691447939,0.02412104453306107,0.17628375028032595
arithmetic_recombination,arithmetic recombination,14,10,25.0,0.09129138458298239,0.08447686777362824,0.012002433685266382,0.1470987993334206
arithmetic_recombination,arithmetic recombination,15,10,25.0,0.09209992544813321,0.09214774425853432,0.007924358106056002,0.1388608085185013
arithmetic_recombination,arithmetic recombination,16,10,25.0,0.08213437128899936,0.08772024972579723,0.004081596116648286,0.1370894300858183
arithmetic_recombination,arithmetic recombination,17,10,25.0,0.06355021288449039,0.09612228394517922,0.0,0.08597774807961553
arithmetic_recombination,arithmetic recombination,18,10,25.0,0.05537748808967909,0.09060112289752474,0.0,0.05398142999493122
arithmetic_recombination,arithmetic recombination,19,10,25.0,0.044676429300646456,0.0701186141230479,0.0,0.05351774028034553
arithmetic_recombination,arithmetic recombination,20,10,25.0,0.034576031896124695,0.06484985120236794,0.0,0.03060268269853291
arithmetic_recombination,arithmetic recombination,21,10,25.0,0.037530713405149504,0.05958819495196548,0.0005366030898467301,0.04046156173291581
arithmetic_recombination,arithmetic recombination,22,10,25.0,0.03850021793622301,0.06251901494762226,0.0005366030898467301,0.033855259231508075
arithmetic_recombination,arithmetic recombination,23,10,25.0,0.034011482216784586,0.060342793620194325,0.0005366030898467301,0.03451463801520052
arithmetic_recombination,arithmetic recombination,24,10,25.0,0.03169487524621042,0.05921035182278422,0.0,0.038348421209060735
arithmetic_recombination,arithmetic recombination,25,10,25.0,0.03194806737672979,0.054433200797570754,0.0,0.04243007113135698
arithmetic_recombination,arithmetic recombination,26,10,25.0,0.02925820557607093,0.04697601511673846,0.0,0.04480476943450021
arithmetic_recombination,arithmetic recombination,27,10,25.0,0.03010887385312862,0.04512661741409997,0.0,0.04552355480342272
arithmetic_recombination,arithmetic recombination,28,10,25.0,0.030341597112275853,0.04123684116845823,0.0,0.05195705377225425
arithmetic_recombination,arithmetic recombination,29,10,25.0,0.03543515090777827,0.05187136134261056,0.0,0.047721799226376316
arithmetic_recombination,arithmetic recombination,30,10,25.0,0.03968885038213743,0.06546581938595969,0.0,0.051150297740110255
arithmetic_recombination,arithmetic recombination,31,10,25.0,0.04554732094006886,0.07321701914736443,0.0,0.05605715025728665
arithmetic_recombination,arithmetic recombination,32,10,25.0,0.03774381152046977,0.06052608718097309,0.0,0.05036028182722511
arithmetic_recombination,arithmetic recombination,33,10,25.0,0.015680398000038363,0.02931308329199963,0.0,0.011919137084491594
arithmetic_recombination,arithmetic recombination,34,10,25.0,0.017809913448868963,0.031060931588738384,0.0,0.022845012745275558
arithmetic_recombination,arithmetic recombination,35,10,25.0,0.0223126985696769,0.03597376180678971,0.0,0.05253366650197153
arithmetic_recombination,arithmetic recombination,36,10,25.0,0.02456476683582142,0.03995016276872221,0.0,0.054525257142440976
arithmetic_recombination,arithmetic recombination,37,10,25.0,0.02341024951078404,0.03805800685574748,0.0,0.05104883475374574
arithmetic_recombination,arithmetic recombination,38,10,25.0,0.01693977380958203,0.03321910847336971,0.0,0.011919137084491594
arithmetic_recombination,arithmetic recombination,39,10,25.0,0.014054352359941152,0.03194807390643787,0.0,0.0
arithmetic_recombination,arithmetic recombination,40,10,25.0,0.01710109398242848,0.030384570897372686,0.0,0.025769123236284865
arithmetic_recombination,arithmetic recombination,41,10,25.0,0.01650788356410811,0.0317781148225828,0.0,0.013148290684980458
arithmetic_recombination,arithmetic recombination,42,10,25.0,0.01711780412072979,0.032361848489246114,0.0,0.013148290684980456
arithmetic_recombination,arithmetic recombination,43,10,25.0,0.0195082944267189,0.037232415935737694,0.0,0.013148290684980458
arithmetic_recombination,arithmetic recombination,44,10,25.0,0.019344675460508384,0.03609708111740506,0.0,0.009552435683723279
arithmetic_recombination,arithmetic recombination,45,10,25.0,0.017481406429563397,0.03254546453622526,0.0,0.013926071498809462
arithmetic_recombination,arithmetic recombination,46,10,25.0,0.017073778366975025,0.02945757268489786,0.0,0.030274068475672745
arithmetic_recombination,arithmetic recombination,47,10,25.0,0.01909204959868654,0.031826826869465356,0.0,0.035931413542142965
arithmetic_recombination,arithmetic recombination,48,10,25.0,0.016505833169290152,0.02859207123121367,0.0,0.025443757474915767
arithmetic_recombination,arithmetic recombination,49,10,25.0,0.013648467515414858,0.02528534317338961,0.0,0.013545992652530222
homologous_gene_block_recombination,homologous recombination,0,10,25.0,0.25980485924367847,0.0183886136373691,0.2467748194100436,0.2672879357574346
homologous_gene_block_recombination,homologous recombination,1,10,25.0,0.24578715293087786,0.019056447376098844,0.23568924569305444,0.26071175947030156
homologous_gene_block_recombination,homologous recombination,2,10,25.0,0.24577259615240288,0.02067781053992414,0.23762118288171458,0.2511965195797121
homologous_gene_block_recombination,homologous recombination,3,10,25.0,0.23476911454274693,0.025646954798141375,0.2234564544534807,0.24359831952391836
homologous_gene_block_recombination,homologous recombination,4,10,25.0,0.23325449742459065,0.03669920066832587,0.2252143110617867,0.25603118758513016
homologous_gene_block_recombination,homologous recombination,5,10,25.0,0.2292512965050512,0.033384257509432934,0.2106283759905347,0.25197471753798173
homologous_gene_block_recombination,homologous recombination,6,10,25.0,0.2185525600701428,0.037231328793549776,0.20764480612857172,0.24753414984830066
homologous_gene_block_recombination,homologous recombination,7,10,25.0,0.22092436980036068,0.03601839459914913,0.1978401932742175,0.24422445040499097
homologous_gene_block_recombination,homologous recombination,8,10,25.0,0.22705383308818958,0.036718162664910514,0.2074707798771115,0.25028465030806024
homologous_gene_block_recombination,homologous recombination,9,10,25.0,0.2181700490705417,0.03535778275062738,0.19744136295221426,0.24374416921172792
homologous_gene_block_recombination,homologous recombination,10,10,25.0,0.20039065697132058,0.049338083386186206,0.15678728810093526,0.24251551691970222
homologous_gene_block_recombination,homologous recombination,11,10,25.0,0.18264096585280462,0.07045977354389847,0.15262506171617657,0.23679096721417425
homologous_gene_block_recombination,homologous recombination,12,10,25.0,0.17705262158145146,0.08165431110270495,0.11428210421250547,0.23576743356811367
homologous_gene_block_recombination,homologous recombination,13,10,25.0,0.15927586439754773,0.09192649739348346,0.1105917257132213,0.21301846370795735
homologous_gene_block_recombination,homologous recombination,14,10,25.0,0.1461768754954782,0.09464620780998273,0.0835830772807044,0.2092348281899878
homologous_gene_block_recombination,homologous recombination,15,10,25.0,0.12923119249934506,0.09705942185614849,0.07362821123146182,0.19907547367705292
homologous_gene_block_recombination,homologous recombination,16,10,25.0,0.11547526328792572,0.09340330912247828,0.04890349224961968,0.16559615666717548
homologous_gene_block_recombination,homologous recombination,17,10,25.0,0.09852980218766842,0.08261601678068056,0.05271163900140756,0.11826822534442497
homologous_gene_block_recombination,homologous recombination,18,10,25.0,0.10074194973294673,0.07892544179965603,0.05406731293489003,0.146937945780911
homologous_gene_block_recombination,homologous recombination,19,10,25.0,0.07961575153978954,0.07045239186336245,0.021586372122141546,0.12101058090602981
homologous_gene_block_recombination,homologous recombination,20,10,25.0,0.06048350904239458,0.06440732943708996,0.0065231927879440075,0.09501575206233726
homologous_gene_block_recombination,homologous recombination,21,10,25.0,0.044109202747724126,0.04494421186459453,0.0029693678208843463,0.07676928626083447
homologous_gene_block_recombination,homologous recombination,22,10,25.0,0.03905490840394124,0.04376285327480685,0.004572720649797518,0.06966801167505761
homologous_gene_block_recombination,homologous recombination,23,10,25.0,0.029169548143598355,0.03555568834860979,0.002864098284341625,0.05081093517881285
homologous_gene_block_recombination,homologous recombination,24,10,25.0,0.023667040723710085,0.033834386664971614,0.0,0.045445634619631275
homologous_gene_block_recombination,homologous recombination,25,10,25.0,0.021762026520314504,0.030958049137517714,0.0,0.020245095930864897
homologous_gene_block_recombination,homologous recombination,26,10,25.0,0.01490030829893207,0.027544178035753715,0.0,0.01543121313655456
homologous_gene_block_recombination,homologous recombination,27,10,25.0,0.009441186703728186,0.01920632001635382,0.0,0.010080914882345825
homologous_gene_block_recombination,homologous recombination,28,10,25.0,0.009929830340781612,0.0206895854750653,0.0,0.010080914882345825
homologous_gene_block_recombination,homologous recombination,29,10,25.0,0.013424097554176945,0.027188387480854722,0.0,0.011762835193973526
homologous_gene_block_recombination,homologous recombination,30,10,25.0,0.012456153940348325,0.023739149982872305,0.0,0.008898736909631898
homologous_gene_block_recombination,homologous recombination,31,10,25.0,0.015641210451618905,0.028273309299023396,0.0,0.01073481300498621
homologous_gene_block_recombination,homologous recombination,32,10,25.0,0.017756514353668162,0.031072326911968616,0.0,0.013523683184831261
homologous_gene_block_recombination,homologous recombination,33,10,25.0,0.017818176509087662,0.029992247400701964,0.0,0.01811387342321704
homologous_gene_block_recombination,homologous recombination,34,10,25.0,0.016731152810751583,0.02696184235816842,0.0,0.02913032999534291
homologous_gene_block_recombination,homologous recombination,35,10,25.0,0.01956930575999285,0.02686579132395935,0.0,0.03642689006763721
homologous_gene_block_recombination,homologous recombination,36,10,25.0,0.02423325975260758,0.029577419205374746,0.0,0.04941995120559485
homologous_gene_block_recombination,homologous recombination,37,10,25.0,0.027288509214077845,0.044671276378294635,0.0,0.037270661049522355
homologous_gene_block_recombination,homologous recombination,38,10,25.0,0.021611241662091947,0.03657509768127074,0.0,0.0307450741543362
homologous_gene_block_recombination,homologous recombination,39,10,25.0,0.01765190582959615,0.025342788889683224,0.0,0.03530451094869634
homologous_gene_block_recombination,homologous recombination,40,10,25.0,0.0159070516877173,0.024046478856075273,0.0,0.025376617324104227
homologous_gene_block_recombination,homologous recombination,41,10,25.0,0.015072311936871599,0.020305496745711065,0.0,0.025376617324104227
homologous_gene_block_recombination,homologous recombination,42,10,25.0,0.010284874960382988,0.011123323040930683,0.0,0.018312604280849003
homologous_gene_block_recombination,homologous recombination,43,10,25.0,0.008206705045071814,0.01055004912755833,0.0,0.01582684565028875
homologous_gene_block_recombination,homologous recombination,44,10,25.0,0.005821623693405108,0.010441179248880739,0.0,0.005509012738538353
homologous_gene_block_recombination,homologous recombination,45,10,25.0,0.006271232674318734,0.012877945500795133,0.0,0.004580726284659039
homologous_gene_block_recombination,homologous recombination,46,10,25.0,0.007170837143019063,0.013637550316890554,0.0,0.006008813893944504
homologous_gene_block_recombination,homologous recombination,47,10,25.0,0.008704471463213705,0.014211520246261107,0.0,0.014427179285531822
homologous_gene_block_recombination,homologous recombination,48,10,25.0,0.007401647706817104,0.009982239496967506,0.0,0.010731251906711935
homologous_gene_block_recombination,homologous recombination,49,10,25.0,0.00901422503961386,0.00883093731379928,0.0,0.01688053446252065
promoter_aligned_cut_and_splice,cut and splice,0,10,25.0,0.2642614668228766,0.018688396227016377,0.26512337017121596,0.2739825543160684
promoter_aligned_cut_and_splice,cut and splice,1,10,25.0,0.26596758061186354,0.025331305980047906,0.2552884275045374,0.2839534627832739
promoter_aligned_cut_and_splice,cut and splice,2,10,25.0,0.25891907251854535,0.02120274965639135,0.2488434058077817,0.2736431768418056
promoter_aligned_cut_and_splice,cut and splice,3,10,25.0,0.2601765924371003,0.021068735047314012,0.2553427127054423,0.2737586637747112
promoter_aligned_cut_and_splice,cut and splice,4,10,25.0,0.2576404064739902,0.024241879633612174,0.24257263147003763,0.2753678441575214
promoter_aligned_cut_and_splice,cut and splice,5,10,25.0,0.26057699874685175,0.021398019719388563,0.23906675307158165,0.2722723150139285
promoter_aligned_cut_and_splice,cut and splice,6,10,25.0,0.26175751588131657,0.021109446072165156,0.24769036656335602,0.27230852769121877
promoter_aligned_cut_and_splice,cut and splice,7,10,25.0,0.25956030022499743,0.01785295636368428,0.24600509231040446,0.27129800523013636
promoter_aligned_cut_and_splice,cut and splice,8,10,25.0,0.2530701478960358,0.02763815099059934,0.23240950582799513,0.2787978211485097
promoter_aligned_cut_and_splice,cut and splice,9,10,25.0,0.24933442494244934,0.0275279450931342,0.23632313187343443,0.26548360184219777
promoter_aligned_cut_and_splice,cut and splice,10,10,25.0,0.24493704059020688,0.03469254366171474,0.22461021633660855,0.2653421931939425
promoter_aligned_cut_and_splice,cut and splice,11,10,25.0,0.24082681483045665,0.03918249008415306,0.22311702435447547,0.27220782507211183
promoter_aligned_cut_and_splice,cut and splice,12,10,25.0,0.2314097344710142,0.04213327726924464,0.19854754575814548,0.26696924748967865
promoter_aligned_cut_and_splice,cut and splice,13,10,25.0,0.2231679259673986,0.04968675009557912,0.1888499032036501,0.26856751902872417
promoter_aligned_cut_and_splice,cut and splice,14,10,25.0,0.20460578213768513,0.0700257516463164,0.17085508711930084,0.2613048258517787
promoter_aligned_cut_and_splice,cut and splice,15,10,25.0,0.19353439786557905,0.08502215197810908,0.14886000838937286,0.25997934894345404
promoter_aligned_cut_and_splice,cut and splice,16,10,25.0,0.18771171784703303,0.08177416834596987,0.1347216702496546,0.24708010633679472
promoter_aligned_cut_and_splice,cut and splice,17,10,25.0,0.18128402412588068,0.08363196824526442,0.11280957308690139,0.24306647678032
promoter_aligned_cut_and_splice,cut and splice,18,10,25.0,0.1693823888528991,0.08744396681571545,0.0904214373047525,0.23847744993606626
promoter_aligned_cut_and_splice,cut and splice,19,10,25.0,0.17030156534934254,0.08386880628183215,0.11038839427325663,0.23500740482876203
promoter_aligned_cut_and_splice,cut and splice,20,10,25.0,0.16770636695785796,0.08337576421905682,0.11071143861921928,0.2308411465234813
promoter_aligned_cut_and_splice,cut and splice,21,10,25.0,0.16656272741759257,0.07398710890939879,0.12604689116595125,0.22516208507711383
promoter_aligned_cut_and_splice,cut and splice,22,10,25.0,0.16507447456120738,0.07110849208717368,0.1322754888672904,0.2271886315414029
promoter_aligned_cut_and_splice,cut and splice,23,10,25.0,0.1691698971442527,0.06930522346404154,0.13855028647017636,0.23021859515603293
promoter_aligned_cut_and_splice,cut and splice,24,10,25.0,0.16676396890747375,0.06838933667557323,0.12233434011188553,0.2190560908825656
promoter_aligned_cut_and_splice,cut and splice,25,10,25.0,0.16567648979925867,0.06377866541519164,0.12129417477895602,0.2121115354021549
promoter_aligned_cut_and_splice,cut and splice,26,10,25.0,0.16226966859487474,0.06696578992374486,0.11545111944896644,0.22169731052482652
promoter_aligned_cut_and_splice,cut and splice,27,10,25.0,0.15908418475376113,0.0642327701973453,0.11275605602515047,0.21463691748187383
promoter_aligned_cut_and_splice,cut and splice,28,10,25.0,0.15106562843887955,0.07033770099242567,0.10007951438651924,0.2114204794043595
promoter_aligned_cut_and_splice,cut and splice,29,10,25.0,0.13996206943438713,0.07011081881995956,0.08085108182535852,0.19969590618491784
promoter_aligned_cut_and_splice,cut and splice,30,10,25.0,0.13922420921817585,0.070195678194371,0.0951373319723766,0.20022172119744613
promoter_aligned_cut_and_splice,cut and splice,31,10,25.0,0.13523723063699306,0.0696226436311313,0.09248693508700565,0.19192565649699214
promoter_aligned_cut_and_splice,cut and splice,32,10,25.0,0.1321456820060317,0.06947687922200128,0.09203603084821903,0.2008282937789243
promoter_aligned_cut_and_splice,cut and splice,33,10,25.0,0.12457156856099139,0.06927234483313505,0.07013898769413865,0.1925852143358682
promoter_aligned_cut_and_splice,cut and splice,34,10,25.0,0.12043773730524716,0.07264090222997628,0.06591654964032803,0.19650090850365756
promoter_aligned_cut_and_splice,cut and splice,35,10,25.0,0.1142801430286926,0.06915020526529919,0.06416982270765939,0.18482247061232548
promoter_aligned_cut_and_splice,cut and splice,36,10,25.0,0.10907859156177073,0.06946689001205233,0.04836002385889305,0.17214216146560107
promoter_aligned_cut_and_splice,cut and splice,37,10,25.0,0.10950207969462984,0.07063491703076184,0.0469885878409033,0.1739257520848792
promoter_aligned_cut_and_splice,cut and splice,38,10,25.0,0.1056430489657147,0.06906637646942689,0.04346730573506445,0.17225219100855965
promoter_aligned_cut_and_splice,cut and splice,39,10,25.0,0.09940984675155802,0.06541825989962126,0.04062854987116842,0.14828080375026018
promoter_aligned_cut_and_splice,cut and splice,40,10,25.0,0.09476560389202462,0.06833241182035575,0.03234398944587541,0.1466847906082216
promoter_aligned_cut_and_splice,cut and splice,41,10,25.0,0.0887199478786469,0.07234512817319656,0.022463484928335532,0.14360817814868726
promoter_aligned_cut_and_splice,cut and splice,42,10,25.0,0.08531735230367067,0.0694077615111742,0.021251486774179623,0.14360817814868726
promoter_aligned_cut_and_splice,cut and splice,43,10,25.0,0.08313361663650716,0.07358920698358141,0.019084001876876314,0.1414694857513204
promoter_aligned_cut_and_splice,cut and splice,44,10,25.0,0.07901761251085757,0.07676123744774987,0.01307945307624412,0.13546581045729336
promoter_aligned_cut_and_splice,cut and splice,45,10,25.0,0.07718954478243191,0.07741445085131095,0.005928298518800614,0.13629474439247896
promoter_aligned_cut_and_splice,cut and splice,46,10,25.0,0.07414628602705794,0.07728246242292329,0.004131844422194366,0.13645432110353317
promoter_aligned_cut_and_splice,cut and splice,47,10,25.0,0.07249455174411924,0.07688476982108686,0.006250889696866726,0.13645432110353317
promoter_aligned_cut_and_splice,cut and splice,48,10,25.0,0.07179191057618725,0.07564840668373045,0.006250889696866727,0.13559870978110952
promoter_aligned_cut_and_splice,cut and splice,49,10,25.0,0.06583522691440592,0.07305996674977654,0.006250889696866726,0.11288588473984522
