metric,experiment,run,crossover_type,crossover_label,n_generations,first_generation,last_generation,first_value,last_value,last_minus_first,slope_per_generation,intercept,r_value,r_squared,slope_p_value,slope_std_err
mean_pairwise_morphological_distance,flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,arithmetic_recombination,arithmetic recombination,50,0,49,0.2453907554340303,0.0,-0.2453907554340303,-0.00571303722502314,0.2074264160949302,-0.8373641933883514,0.7011787923689244,3.48648725238866e-14,0.00053831658150504
mean_pairwise_morphological_distance,flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,50,0,49,0.2333374350795818,0.0,-0.2333374350795818,-0.0033958263571101494,0.13249973261764017,-0.6345779619887173,0.40268918984175395,7.469741372435805e-07,0.0005969528884149322
mean_pairwise_morphological_distance,flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,50,0,49,0.2842629205797829,0.0339250099665543,-0.25033791061322863,-0.005803870602208305,0.2809954603699525,-0.8850602809309748,0.783331700881616,1.4750345877953117e-17,0.00044057711864745275
mean_pairwise_morphological_distance,flat_arithmetic_recombination_25pop_25off_50gen_1000steps,4,arithmetic_recombination,arithmetic recombination,50,0,49,0.2576770903603019,0.0,-0.2576770903603019,-0.005340370991453527,0.22152439321717374,-0.8716650029621611,0.7597998773890243,1.7772960599475173e-16,0.0004333989075729495
mean_pairwise_morphological_distance,flat_arithmetic_recombination_25pop_25off_50gen_1000steps,5,arithmetic_recombination,arithmetic recombination,50,0,49,0.2657844374037988,0.0,-0.2657844374037988,-0.00271871063958407,0.09224986380800587,-0.5924036154368753,0.35094204358268116,5.8398555789913786e-06,0.0005336621564281708
mean_pairwise_morphological_distance,flat_arithmetic_recombination_25pop_25off_50gen_1000steps,6,arithmetic_recombination,arithmetic recombination,50,0,49,0.2612230820625488,0.0,-0.2612230820625488,-0.004526543661010211,0.1883967053510563,-0.6773962850894848,0.4588657270530346,6.573777763855827e-08,0.000709505562979576
mean_pairwise_morphological_distance,flat_arithmetic_recombination_25pop_25off_50gen_1000steps,7,arithmetic_recombination,arithmetic recombination,50,0,49,0.2423217514144313,0.0,-0.2423217514144313,-0.004796247980245012,0.1729499286388584,-0.8124050882900239,0.6600020274795215,7.949640291341333e-13,0.0004968743060244738
mean_pairwise_morphological_distance,flat_arithmetic_recombination_25pop_25off_50gen_1000steps,8,arithmetic_recombination,arithmetic recombination,50,0,49,0.2516204963466174,0.0150482324311177,-0.23657226391549968,-0.005088111329133115,0.19768106258945525,-0.7949048149114826,0.6318736647694584,5.466900315028077e-12,0.0005605563835149622
mean_pairwise_morphological_distance,flat_arithmetic_recombination_25pop_25off_50gen_1000steps,9,arithmetic_recombination,arithmetic recombination,50,0,49,0.272272423664439,0.0784721594397088,-0.19380026422473018,-0.004415585328362483,0.24676793763496258,-0.7701139274282928,0.5930754612190298,6.238210523685956e-11,0.0005279218354446771
mean_pairwise_morphological_distance,flat_arithmetic_recombination_25pop_25off_50gen_1000steps,10,arithmetic_recombination,arithmetic recombination,50,0,49,0.2389585209520199,0.0090392733167676,-0.2299192476352523,-0.0037725753043760597,0.13088914802578533,-0.674456109525602,0.4548910436764108,7.867442918326486e-08,0.000596080980253845
mean_pairwise_morphological_distance,flat_homologous_gene_block_recombination_25pop_25off_50gen_1000steps,1,homologous_gene_block_recombination,homologous recombination,50,0,49,0.2994321888744943,0.0133411827273693,-0.286091006147125,-0.006462386626015303,0.2626094970956095,-0.8529383441542359,0.7275038189285697,3.746216921304848e-15,0.0005708669358342003
mean_pairwise_morphological_distance,flat_homologous_gene_block_recombination_25pop_25off_50gen_1000steps,2,homologous_gene_block_recombination,homologous recombination,50,0,49,0.2438331652422791,0.0,-0.2438331652422791,-0.004632032880359834,0.1623868584883435,-0.7414828105900441,0.5497967584005111,7.309875401448962e-10,0.000604998414170242
mean_pairwise_morphological_distance,flat_homologous_gene_block_recombination_25pop_25off_50gen_1000steps,3,homologous_gene_block_recombination,homologous recombination,50,0,49,0.2469999575891397,0.0215959760140651,-0.2254039815750746,-0.004477404263366824,0.17393918934794694,-0.8335551771904516,0.6948142334210051,5.80667701998849e-14,0.0004283053250838523
mean_pairwise_morphological_distance,flat_homologous_gene_block_recombination_25pop_25off_50gen_1000steps,4,homologous_gene_block_recombination,homologous recombination,50,0,49,0.2533029382899275,0.0,-0.2533029382899275,-0.005226845040813181,0.18594686565427568,-0.7717848980274453,0.5956519288232341,5.345326003402259e-11,0.0006215848457731876
mean_pairwise_morphological_distance,flat_homologous_gene_block_recombination_25pop_25off_50gen_1000steps,5,homologous_gene_block_recombination,homologous recombination,50,0,49,0.2466997733503449,0.006107635046212,-0.2405921383041329,-0.005418987568881229,0.24331726723974775,-0.9050154371663545,0.8190529415094077,1.9131069398826797e-19,0.0003676353908906245
mean_pairwise_morphological_distance,flat_homologous_gene_block_recombination_25pop_25off_50gen_1000steps,6,homologous_gene_block_recombination,homologous recombination,50,0,49,0.2738284643720202,0.0,-0.2738284643720202,-0.007288347144760719,0.2833303015775959,-0.8989423350343363,0.8080973217169849,7.892796039268307e-19,0.0005126454599564863
mean_pairwise_morphological_distance,flat_homologous_gene_block_recombination_25pop_25off_50gen_1000steps,7,homologous_gene_block_recombination,homologous recombination,50,0,49,0.2368898707137055,0.0190490080503547,-0.21784086266335081,-0.006533017553936809,0.27933633203960445,-0.8246416890472642,0.6800339153147248,1.8251067606341952e-13,0.0006468147180102409
mean_pairwise_morphological_distance,flat_homologous_gene_block_recombination_25pop_25off_50gen_1000steps,8,homologous_gene_block_recombination,homologous recombination,50,0,49,0.2626033499114966,0.0180603183742377,-0.2445430315372589,-0.006019046248075188,0.24675808443067093,-0.8982995443843167,0.806942071441071,9.121894202413128e-19,0.00042494204466025573
mean_pairwise_morphological_distance,flat_homologous_gene_block_recombination_25pop_25off_50gen_1000steps,9,homologous_gene_block_recombination,homologous recombination,50,0,49,0.2671124546251952,0.0119881301838995,-0.2551243244412957,-0.004934627180608983,0.19325939104659534,-0.8396568615778194,0.7050236451947134,2.548499293928044e-14,0.00046070771901855713
mean_pairwise_morphological_distance,flat_homologous_gene_block_recombination_25pop_25off_50gen_1000steps,10,homologous_gene_block_recombination,homologous recombination,50,0,49,0.267346429468181,0.0,-0.267346429468181,-0.005311948915810083,0.20318504543168642,-0.9089853289152379,0.8262543281831431,7.188332431970289e-20,0.0003515874745460752
mean_pairwise_morphological_distance,flat_promoter_aligned_cut_and_splice_25pop_25off_50gen_1000steps,1,promoter_aligned_cut_and_splice,cut and splice,50,0,49,0.2711325714885335,0.0368373281660651,-0.23429524332246837,-0.0035672764949805074,0.2525476779158509,-0.9144095519785431,0.8361448287495999,1.7509512584110838e-20,0.00022793209149547767
mean_pairwise_morphological_distance,flat_promoter_aligned_cut_and_splice_25pop_25off_50gen_1000steps,2,promoter_aligned_cut_and_splice,cut and splice,50,0,49,0.2812572680230707,0.035135812925059,-0.24612145509801173,-0.005324723553469011,0.23168855589999154,-0.8849615154987348,0.7831568839138174,1.5040235295511034e-17,0.0004044127893091355
mean_pairwise_morphological_distance,flat_promoter_aligned_cut_and_splice_25pop_25off_50gen_1000steps,3,promoter_aligned_cut_and_splice,cut and splice,50,0,49,0.2743706464364152,0.1140048351729965,-0.16036581126341867,-0.0030894464727958563,0.30111222244020575,-0.9343112751143609,0.8729375588058229,3.834626895463202e-23,0.00017012849652582634
mean_pairwise_morphological_distance,flat_promoter_aligned_cut_and_splice_25pop_25off_50gen_1000steps,4,promoter_aligned_cut_and_splice,cut and splice,50,0,49,0.2360390285552405,0.2192998572419641,-0.016739171313276402,-0.002007673496985032,0.28709092151737337,-0.8358111401707938,0.6985802620336024,4.2992879177878997e-14,0.00019034880552888019
mean_pairwise_morphological_distance,flat_promoter_aligned_cut_and_splice_25pop_25off_50gen_1000steps,5,promoter_aligned_cut_and_splice,cut and splice,50,0,49,0.224909103974465,0.1241926308092423,-0.10071647316522271,-0.001443005809186055,0.24552595714825248,-0.7782502973644844,0.6056735253479083,2.90396814288957e-11,0.00016805681692066223
mean_pairwise_morphological_distance,flat_promoter_aligned_cut_and_splice_25pop_25off_50gen_1000steps,6,promoter_aligned_cut_and_splice,cut and splice,50,0,49,0.2640170686460972,0.0165273776887774,-0.2474896909573198,-0.006005321684813699,0.30082829093341207,-0.9886562362997288,0.9774411535743451,3.4947603900261454e-41,0.00013168272073372942
mean_pairwise_morphological_distance,flat_promoter_aligned_cut_and_splice_25pop_25off_50gen_1000steps,7,promoter_aligned_cut_and_splice,cut and splice,50,0,49,0.2796333008111891,0.0,-0.2796333008111891,-0.005215863474505891,0.2361969858650193,-0.7980781356014294,0.6369287105250535,3.9083629348593145e-12,0.0005684027068002356
mean_pairwise_morphological_distance,flat_promoter_aligned_cut_and_splice_25pop_25off_50gen_1000steps,8,promoter_aligned_cut_and_splice,cut and splice,50,0,49,0.272818277955028,0.0028253936995631,-0.2699928842554649,-0.006112018634111749,0.2647037763718233,-0.937351608350638,0.8786280376775278,1.2729286142091213e-23,0.000327884365594883
mean_pairwise_morphological_distance,flat_promoter_aligned_cut_and_splice_25pop_25off_50gen_1000steps,9,promoter_aligned_cut_and_splice,cut and splice,50,0,49,0.2699951275921545,0.0,-0.2699951275921545,-0.0073787772968503945,0.34932206294416474,-0.9376748427746606,0.8792341107724845,1.1284514484857749e-23,0.0003947150279866787
mean_pairwise_morphological_distance,flat_promoter_aligned_cut_and_splice_25pop_25off_50gen_1000steps,10,promoter_aligned_cut_and_splice,cut and splice,50,0,49,0.268442274746572,0.1095290334403912,-0.1589132413061808,-0.004260893184717562,0.2656466845928489,-0.8863999854196977,0.7857049341520402,1.1307877641593037e-17,0.00032118582779113456
